No,Journal,n,cites,h5,h5med,IF,IF5,IM,CS,SNIP,SJR,conserv,ecol,review,bes,oa,marfreshw,mysamp,hlth,gen,genet,palaeo,energ,sust
98,BMJ OPEN,3887,35626,91,125,2.496,2.992,0.336,3.5,1.359,1.247,,,,,,,,1,,,,,
99,J NAT CONSERV,72,1661,27,33,2.482,2.458,0.306,3.8,1.046,0.763,1,,,,,,,,,,,,1
100,ENVIRON CONSERV,40,3579,23,36,2.434,2.401,0.55,4.7,1.078,1.018,1,,,,,,,,,,,,1
101,FRONT ECOL EVOL,410,2226,36,44,2.416,2.555,0.598,3,1,1.101,,1,,,,,,,,,,,
102,ENERG J,79,2879,36,49,2.394,2.639,0.316,4.4,1.291,1.48,,,,,,,,,,,,1,1
103,ECOL EVOL,1063,12732,51,67,2.392,2.749,0.426,3.8,1.043,1.238,,1,,,,,,,,,,,
104,HYDROBIOLOGIA,367,25220,42,59,2.385,2.401,0.905,4.7,1.11,0.928,,1,,,,1,1,,,,,,
105,PEERJ,2125,17984,65,94,2.379,2.81,0.352,3.5,1.01,0.995,,,,,1,,1,,1,,,,1
106,J QUAT SCI,49,4183,25,33,2.377,2.702,0.857,4.9,0.879,1.157,,,,,,,,,,,1,,
107,MAR ECOL PROG SER,291,37574,40,52,2.326,2.665,0.629,4.2,0.961,1.249,,,,,,1,1,,,,,,
108,QUAT RES,103,7089,24,31,2.31,2.438,1.243,3.4,0.995,0.978,,,,,,,,,,,1,,
109,BEHAV ECOL SOCIOBIOL,162,11921,34,41,2.277,2.287,0.827,4.3,1.019,1.166,,1,,,,,,,,,,,
110,J EXP MAR BIOL ECOL,111,14939,33,43,2.247,2.126,0.468,4.6,0.948,0.972,,1,,,,1,1,,,,,,
111,FORESTS,1148,6013,38,46,2.221,2.484,0.472,2.7,0.941,0.652,,1,,,,,,,,,,,
112,J WILDL MANAG,149,10794,29,38,2.215,2.231,0.658,3.4,1.091,1.071,,1,,,,,,,,,,,
113,ORYX,86,2965,32,45,2.199,2.328,1.058,4.5,1.243,0.882,1,,,,,,,,,,,,
114,FISH RES,286,9341,38,49,2.147,2.329,0.731,4.1,1.151,1.02,,,,,,1,1,,,,,,
115,AUK,50,5995,26,33,2.114,2.178,0.24,4,1.025,1.014,,1,,,,,,,,,,,
116,BIOTROPICA,85,6031,30,35,2.09,2.353,0.341,0.9,1,0.197,,1,,,,,,,,,,,
117,IBIS,79,4599,25,31,2.076,2.11,1.051,4,1.186,0.917,,1,,,,,,,,,,,
118,MAR BIOL,171,17197,33,42,2.05,2.256,0.368,4.3,0.885,1.025,,,,,,1,1,,,,,,
119,BMC ECOL,52,1251,23,28,2.029,2.384,0.385,3.5,0.852,0.867,,1,,,1,,,,,,,,
120,QUAT INT,516,16400,46,55,2.003,2.318,1.221,4.9,1.095,1.015,,,,,,,,,,,1,,
121,PALEOBIOLOGY,41,3773,20,26,1.951,2.305,0.537,3.4,0.748,0.839,,,,,,,,,,,1,,
122,CONSERV GEN,109,4117,25,34,1.917,1.916,0.688,3.9,0.916,0.829,1,,,,,,,,,1,,,
123,BIRD CONSERV INTL,45,1134,19,25,1.846,1.627,1.022,3.3,1.118,0.783,1,,,,,,,,,,,,
124,J PLANT ECOL,101,1810,23,30,1.833,2.299,0.396,4.9,0.898,0.831,,1,,,,,,,,,,,
125,FISH MANAG ECOL,64,1769,20,29,1.733,1.94,0.578,3.1,0.972,0.762,,,,,,1,1,,,,,,
126,WILDL RES,68,2811,22,33,1.669,1.833,0.191,2.5,0.858,0.847,,1,,,,,,,,,,,
127,TROP CONSERV SCI,70,1011,21,26,1.613,1.714,0.2,2.5,0.892,0.616,1,,,,1,,,,,,,,
128,ECOL RES,87,3566,21,33,1.58,1.744,0.563,3,0.9,0.647,,1,,,,,,,,,,,
129,J RENEW SUST ENER,188,3216,29,36,1.575,1.611,0.505,3.2,0.693,0.483,,,,,,,,,,,,1,1
130,ECOL COMPLEX,50,1815,24,30,1.571,1.862,0.32,2.8,0.862,0.543,,1,,,,,,,,,,,
131,J PALEONTOL,75,5213,18,22,1.563,1.601,0.387,2.8,0.951,0.773,,,,,,,,,,,1,,
132,J INSECT CONSERV,76,2105,21,29,1.553,1.654,0.737,2.9,0.905,0.71,1,,,,,,,,,,,,
133,AUSTRAL ECOL,127,3992,23,29,1.551,1.674,0.323,2.6,0.78,0.754,,1,,,,,,,,,,,
134,PLANT ECOL,87,5875,25,32,1.509,1.852,0.287,3.3,0.782,0.723,,1,,,,,,,,,,,
135,EMU,41,1208,17,24,1.493,1.367,0.683,3.3,0.734,0.682,1,1,,,,,,,,,,,
136,MAR FRESHW RES,157,5025,28,35,1.488,1.773,0.955,3.6,0.797,0.708,,,,,,1,1,,,,,,
137,EUR J WILDL RES,106,1912,23,27,1.381,1.539,0.264,2.4,0.803,0.632,,1,,,,,,,,,,,
138,POP ECOL,40,1184,20,25,1.297,1.677,0.475,3,0.889,0.729,,1,,,,,1,,,,,,
139,PLANT ECOL DIVER,18,808,20,28,1.196,1.699,0.167,2.4,0.699,0.583,,1,,,,,,,,,,,
140,THEOR ECOL,38,685,16,22,1.099,1.534,0.5,3.1,0.812,0.817,,1,,,,,,,,,,,
141,ECOL MANAGE RESTOR,25,797,16,25,1.086,1.558,0.92,2.3,0.616,0.517,1,,,,,,,,,,,,1
