No,Journal,n,cites,h5,h5med,IF,IF5,IM,CS,SNIP,SJR,conserv,ecol,review,bes,oa,marfreshw,mysamp,hlth,gen,genet,palaeo,energ,sust
1,LANCET,275,256199,301,493,60.392,59.345,15.011,73.4,21.313,14.554,,,,,,,,1,,,,,
2,NAT ENERG,93,17747,129,235,46.495,56.397,8.828,71.2,7.714,19.635,,,,,1,,,,,,,1,1
3,NATURE,903,767209,376,552,42.778,46.486,9.687,51,8.82,14.047,,,,,,,,1,1,,1,1,1
4,SCIENCE,774,699842,356,526,41.845,44.372,8.384,45.3,7.521,13.11,,,,,,,,1,1,,1,1,1
5,ENERG ENVIRON SCI,268,86899,199,289,30.289,33.075,7.578,56,4.706,13.024,,,,,,,,,,,,1,1
6,NAT GEN,173,97380,180,266,27.603,30.331,9.711,45.2,6.001,19.795,,,,,,,,,,1,,,
7,LANCET GLOBAL HLTH,120,9165,83,145,21.597,22.408,5.383,23.1,7.743,8.055,,,,,,,,1,,,,,
8,NAT CLIM CHANGE,133,27079,136,213,20.893,24.312,4.256,34.4,5.348,7.735,,,,,,,,,1,,,,1
9,ANNU REV MAR SCI,20,4444,51,91,16.359,18.069,7.05,22.3,4.305,6.86,,,1,,,1,,,,,,,
10,TRENDS ECOL EVOL,84,38175,84,123,14.764,18.601,3.69,22.3,4.305,6.86,,1,1,,,,,,,,1,,
11,ANNU REV ECOL EVOL SYST,25,20714,46,80,14.041,16.881,0.44,18,4.266,7.875,,1,1,,,,,,,,,,
12,SCI ADV,1238,36380,142,213,13.116,14.094,2.059,25.2,3.374,6.062,,,,,1,,,,1,,,,1
13,NAT ECOL EVOL,175,6172,65,94,12.541,12.559,3.514,13.5,3.083,5.603,1,1,,,,,,,,,,,1
14,NAT HUM BEHAV,115,2457,57,75,12.282,12.316,2.43,8.5,5.11,3.664,1,,,,,,,,,,,,1
15,NAT COMMUN,5469,312599,273,366,12.121,13.61,2.187,18.1,2.847,5.569,,,,,1,,,1,1,,1,1,1
16,RENEW SUST ENERG REV,639,105054,201,263,12.11,12.348,2.645,25.5,4.351,3.632,,,,,,,,,,,,1,1
17,NAT SUSTAIN,118,1423,33,66,12.08,12.092,3.119,6.8,2.962,3.488,,,,,,,,,,,,,1
18,BIOL REV,105,13490,76,117,10.701,11.297,3.429,19.3,3.939,4.974,,1,1,,,,,,,,,,
19,CURR BIOL,475,63256,111,148,9.601,10.14,2.086,13.8,2.318,3.958,,,,,,,,,1,,,,
20,P NATL ACAD SCI USA,3347,676425,228,299,9.412,10.62,1.957,15.7,2.689,5.165,,,,,,,,1,1,,1,1,1
21,FRONT ECOL ENVIRON,51,11288,60,92,9.295,11.61,2.039,15.1,3.375,4.162,1,1,1,,,,,,,,,,1
22,APPL ENERG,1792,98570,143,185,8.848,9.086,2.1,16.4,2.865,3.607,,,,,,,,,,,,1,1
23,ECOL LETT,196,34487,80,118,8.665,10.562,1.597,21.5,3.97,6.731,,1,,,,,,,,,,,
24,GLOBAL CHANGE BIOL,321,45069,104,142,8.555,9.827,2.134,15.2,2.593,4.198,,1,,,,,,,,,1,,1
25,NEW PHYTOL,595,57929,102,134,8.512,8.795,2.855,13,2.282,3.702,,1,1,,,,,,,,,,
26,ENVIRON HEALTH PERSP,128,42865,87,115,8.382,10.081,1.102,15.9,2.394,2.654,,,,,,,,1,,,,,
27,BIOSCIENCE,76,19069,57,90,8.282,8.033,1.579,9.9,2.598,2.543,,,1,,,,,,1,,,,1
28,ECOL MONOG,51,11572,38,70,7.722,10.296,2.392,12,2.845,4.353,,1,,,,,,,,,,,
29,eLIFE,1513,46775,127,159,7.08,8.175,1.271,10.8,1.666,6.079,,,,,,,,,1,,,,
30,PLOS BIOL,447,31650,87,145,7.076,8.878,1.362,10.6,2.066,4.488,,,,,1,,,1,1,,,,
31,FISH FISH,75,5168,55,81,6.785,8.5,1.04,12.4,2.805,3.001,,,1,,,1,,,,,,,
32,CONSERV LETT,58,4652,51,75,6.766,7.489,2.397,13.4,2.639,3.563,1,,,,1,,,,,,,,1
33,SCI TOTAL ENVIRON,6247,134959,131,261,6.551,6.419,1.981,8.6,1.977,1.661,,,,,,,,,1,,,1,1
34,METHODS ECOL EVOL,196,14302,74,111,6.511,8.728,1.199,11.5,2.762,3.984,,1,,1,,,,,,,,,
35,ECOGRAPHY,186,12570,56,75,6.455,6.129,1.629,9.4,2.03,3.155,,1,,,,,,,,,,,
36,GLOBAL ECOL BIOGEOGR,146,12959,60,79,6.446,7.647,1.075,10.5,2.146,3.535,,1,,,,,,,,,1,,
37,MOLEC ECOL RESOUR,124,10868,64,105,6.286,7.488,1.694,11.8,2.085,2.969,,1,,,,,,,,1,,,
38,RENEW ENERG,1500,50113,101,132,6.274,5.964,2.307,11.2,2.366,2.052,,,,,,,,,,,,1,1
39,ENVIRON RES LETT,542,19933,84,114,6.096,6.672,0.716,8.9,1.866,2.675,,1,,,,,,,,,,1,1
40,ENERGY,2373,79807,98,118,6.082,6.046,1.561,9.9,2.012,2.166,,,,,,,,,,,,1,1
41,J APPL ECOL,234,20491,68,92,5.84,6.424,1.175,9.5,1.957,2.681,1,1,,1,,,1,,,,,,1
42,J ECOL,213,20912,58,80,5.762,6.488,1.559,9.4,1.978,2.715,,1,,1,,,,,,,,,
43,PHIL TRANS R SOC B,396,46796,94,124,5.68,6.736,2.583,11.4,1.851,3.051,,,,,,,,,1,,,,
44,CURR OP ENV SUST,86,5291,50,86,5.658,6.712,2.14,9.3,1.907,1.968,,,,,,,,,,,,1,1
45,CONSERV BIOL,125,22287,69,94,5.405,6.099,2.448,9.8,2.147,2.641,1,,,,,,,,,,,,1
46,PLOS GEN,520,45571,87,119,5.174,5.857,0.973,9,1.359,3.744,,,,,,,,,,1,,,
47,MOLEC ECOL,338,38951,81,106,5.163,5.965,1.627,10,1.482,2.935,,1,,,,,,,,1,,,
48,ENERG POLICY,746,49950,87,117,5.042,5.693,1.169,8.7,1.931,2.168,,,,,,,,,,,,1,1
49,AMBIO,120,8753,51,78,4.778,5.285,1.708,8.3,1.775,1.661,1,,,,,,,,,,,1,1
50,BIOL CONSERV,374,32257,76,116,4.711,5.278,1.5,7.6,1.924,2.149,1,,,,,,,,,,,,1
51,ECOLOGY,272,63431,62,78,4.7,5.564,1.081,7.4,1.738,2.507,,1,,,,,,,,,,,
52,P ROY SOC B-BIOL SCI,577,55054,82,109,4.637,5.432,0.797,7.4,1.647,2.626,,,,,,,,,1,,1,,1
53,J ANIM ECOL,131,16767,49,70,4.554,4.907,1.214,7.7,1.663,2.446,,1,,1,,,,,,,,,
54,GLOBAL PLANET CHANGE,182,11118,46,69,4.448,5.142,1.22,7.3,1.716,1.756,,,,,,,,,,,,,1
55,iSCIENCE,508,1410,23,28,4.447,4.452,0.841,2.1,1.008,1.707,,,,,,,,,1,,,,
56,FUNCT ECOL,199,17073,57,80,4.434,5.541,1.457,8.9,1.645,2.336,,1,,1,,,,,,,,,
57,ECOL APPL,160,21637,53,75,4.248,5.047,1,8.1,1.575,2.086,1,1,,,,,1,,,,,,1
58,ECOL INDIC,911,23234,86,113,4.229,4.968,1.063,7.6,1.747,1.331,,1,,,,,,,,,,,
59,ECOSYSTEMS,128,9886,40,50,4.207,4.466,1.102,7.1,1.475,1.881,,1,,,,,,,,,,,
60,COMMUN BIOL,438,1326,25,33,4.165,NA,0.95,2,1.233,2.15,,,,,,,,,1,,,,
61,MAR POLLUT BULL,772,35417,83,115,4.049,4.407,0.843,6.7,1.331,1.27,,,,,,1,,,,,,,
62,SCI REP,19873,386848,178,226,3.998,4.576,0.527,7.2,1.365,1.341,,,,,,,,,1,,1,1,1
63,DIVERS DISTRIB,145,8608,47,57,3.993,4.818,1.069,6.7,1.542,2.067,,1,,,,,,,,,1,,
64,ECOL SOC,137,11994,59,78,3.89,4.685,0.635,7.5,1.592,1.679,1,1,,,,,,,,,,,
65,FRESHW BIOL,175,15144,44,54,3.835,3.759,0.686,6.5,1.383,1.487,,,,,,1,,,,,,,
66,QUAT SCI REV,400,24054,62,80,3.803,4.878,0.855,7.4,1.65,2.235,,,,,,,,,,,1,,
67,LIMNOL OCEANOGR,202,29383,47,60,3.778,4.278,1.282,7.5,1.52,1.91,,,,,,1,,,,,,,
68,AM NAT,158,29149,45,59,3.744,4.072,1.038,6.3,1.473,2.155,,1,,,,,,,,,,,
69,J BIOGEOGR,182,15932,48,62,3.723,4.105,0.736,6.8,1.441,1.847,,1,,,,,,,,,1,,
70,FRONT MAR SCI,734,6020,50,70,3.661,3.828,1.114,4.4,1.164,1.42,,,,,,1,,,,,,,
71,CORAL REEFS,106,7763,34,51,3.536,3.553,1.104,5.7,0.947,1.405,,,,,,1,,,,,,,
72,LANDSCAPE ECOL,183,9901,48,62,3.385,4.354,0.88,7.2,1.407,1.601,,1,,,,,,,,,,,
73,OIKOS,155,21895,47,66,3.37,3.749,0.71,6.6,1.33,1.764,,1,,,,,1,,,,,,
74,ANIM CONSERV,47,3239,29,37,3.21,3.099,1.745,5.7,1.336,1.375,1,,,,,,,,,,,,
75,ICES J MAR SCI,205,11699,51,72,3.188,3.505,1.185,6.3,1.183,1.417,,,,,,1,1,,,,,,
76,FOR ECOL MANAG,728,36409,58,78,3.17,3.581,0.944,5.6,1.414,1.249,,1,,,,,,,,,,,
77,BASIC APPL ECOL,54,3389,29,43,3.156,2.896,0.37,4.3,0.958,1.187,1,1,,,,1,1,,,,,,1
78,BIOL INVASIONS,269,9908,45,63,3.087,3.137,0.569,5.5,1.269,1.232,1,1,,,,,,,,,,,
79,PALAEONTOLOGY,52,4504,30,44,3.06,3.498,1.154,5.3,1.351,1.642,,,,,,,,,,,1,,
80,J EXP BIOL,500,34195,58,76,3.014,3.439,0.712,5.1,1.197,1.456,,1,,,,,,,,,,,
81,BIODIV CONSERV,206,11286,43,65,2.935,3.097,0.718,4.9,1.241,1.092,1,,,,,,,,,,,,
82,ECOSPHERE,424,7692,46,62,2.878,3.419,0.439,4.6,1.078,1.397,,1,,,,,1,,,,,,1
83,BIOL LETT,226,10299,46,63,2.869,3.566,0.513,5.6,1.197,1.651,,,,,,,,,1,,1,,
84,CAN J FISH AQUAT SCI,199,18535,36,54,2.849,3.095,0.894,4.4,1.227,1.32,,,,,,1,1,,,,,,
85,PALAEOGEOGR PALAEOCLIM PALAEOECOL,441,24807,42,52,2.833,3.021,1.045,5.1,1.232,1.335,,,,,,,,,,,1,,
86,J SYST PALAEONTOL,92,1448,21,25,2.833,2.549,1.163,4.4,1.366,1.097,,,,,,,,,,,1,,
87,BEHAV ECOL,188,9999,42,55,2.761,3.222,0.867,4.8,1.161,1.287,,1,,,,,,,,,,,
88,PLOS ONE,11244,688763,175,237,2.74,3.226,0.499,5.2,1.205,1.023,,,,,1,1,1,1,1,,1,1,1
89,INSECT CONSERV DIV,47,1314,23,32,2.729,2.518,0.617,4.5,1.143,1.129,1,,,,,,,,,,,,
90,RESTOR ECOL,162,5681,38,53,2.721,2.896,0.722,4.7,1.214,1.188,1,1,,,,,,,,,,,1
91,FISHERIES,31,2558,26,37,2.701,3.27,0.71,2.4,0.788,0.595,,,,,,1,1,,,,,,
92,J VEG SCI,111,8371,33,41,2.698,3.177,0.459,5.3,1.275,1.338,,1,,,,,,,,,,,
93,OECOLOGIA,260,32699,45,58,2.654,3.094,0.462,5.3,1.175,1.435,,1,,,,,,,,,,,
94,R SOC OPEN SCI,692,7222,56,82,2.647,2.924,0.419,4,1.147,0.966,,,,,,,,,1,,,,
95,CONDOR,55,4856,25,32,2.628,2.614,0.655,4.3,1.273,1.145,1,,,,,,,,,,,,
96,AQUAT CONSERV,216,4106,31,42,2.572,3.19,0.722,4.6,1.105,1.188,1,,,,,1,1,,,,,,
97,ECOL MODEL,241,19314,45,65,2.497,2.978,0.598,5.1,1.16,0.997,,1,,,,,1,,,,,,
